   2   0  22   2  15   3   1   0   0   38.00   2   1  162501
   5   1  27   3  18   4   5   2   0   38.00   2   0  -12502
   4   0  59   5   9   1   5  15   0   38.00   2   0  -12503
   2   0  36   4  10   1   2   5   0   38.00   2   1   72504
   1   0  36   4  16   3   2   3   0   38.00   2   1  142505
   1   0  52   5  12   2   1   6   0   38.00   2   0  -12506
   3   1  42   4  13   2   2   4   0   38.00   2   1  132507
   1   1  43   4  12   2   3  11   0   38.00   2   0  -12508
   4   1  38   4  12   2   5  11   0   38.00   2   1  122509
   4   0  52   5  17   4   2   7   0   38.00   2   0  -12510
   2   1  42   4  15   3   2   6   0   38.00   2   1  162511
   5   1  51   5  16   3   1   3   0   38.00   2   1  192512
   2   0  34   3   9   1   3  12   0   38.00   2   0  -12513
   4   1  27   3  15   3   2   0   0   38.00   2   0  -12514
   2   1  22   2  17   4   1   0   0   38.00   2   0  -12515
   2   0  67   6  12   2   2  12   0   38.00   2   0  -12516
   1   0  41   4  13   2   2   6   0   38.00   2   1  102517
   2   1  60   5  15   3   6  26   1   38.00   2   1  172518
   4   0  61   5  13   2   1  12   0   38.00   2   0  -12519
   5   1  47   4  20   5   6  15   0   38.00   2   0  -12520
   3   0  72   6  14   2   5  29   1   38.00   2   1  112521
   2   0  39   4  16   3   6   9   0   38.00   2   1  202522
   4   1  55   5  15   3   1   7   0   38.00   2   1  162523
   4   1  25   3  20   5   2   0   0   38.00   2   1  182524
   3   0  43   4  16   3   2   2   0   39.00   2   0  -12525
   5   1  29   3  17   4   1   2   0   39.00   2   0  -12526
   2   1  28   3  18   4   5   3   0   39.00   2   1  142527
   4   1  37   4  14   2   4  10   0   39.00   2   0  -12528
   2   0  28   3  17   4   2   0   0   39.00   2   1  142529
   1   0  41   4  15   3   2   4   0   39.00   2   0  -12530
   2   1  59   5  14   2   2   1   0   39.00   2   1  122531
   4   1  41   4  14   2   1   8   0   39.00   2   1  172532
   2   1  21   2  16   3   1   0   0   39.00   2   1  162533
   5   1  42   4  13   2   2   6   0   39.00   2   1  142534
   3   1  71   6  15   3   2   4   0   39.00   2   0  -12535
   4   0  67   6  16   3   1   7   0   39.00   2   1  162536
   1   1  23   2  17   4   2   0   0   39.00   2   1  122537
   1   0  74   6  12   2   6  35   1   39.00   2   1  142538
   4   1  35   4  15   3   3   6   0   39.00   2   1  182539
   2   1  28   3  10   1   6   6   0   39.00   2   1   72540
   2   0  73   6  14   2   1  11   0   39.00   2   0  -12541
   1   1  30   3  19   4   1   2   0   39.00   2   0  -12542
   3   1  37   4  14   2   2   6   0   39.00   2   1  112543
   1   0  23   2  14   2   1   1   0   39.00   2   1  182544
   3   0  45   4  12   2   1  10   0   39.00   2   0  -12545
   2   1  60   5  11   1   2   9   0   39.00   2   0  -12546
   1   1  40   4  10   1   6  13   0   39.00   2   0  -12547
   5   0  73   6  12   2   6  32   1   39.00   2   1  132548
   2   1  47   4  16   3   6  11   0   39.00   2   1  122549
   4   0  67   6  12   2   1   6   0   39.00   2   0  -12550
   3   0  40   4  18   4   1   4   0   39.00   2   1  192551
   3   0  23   2  10   1   3   4   0   39.00   2   1  142552
   5   1  64   5  12   2   1  12   0   39.00   2   1  102553
   1   1  71   6  14   2   1  22   1   39.00   2   0  -12554
   4   0  63   5  13   2   2   6   0   39.00   2   1  152555
   3   1  76   6  15   3   2   3   0   39.00   2   0  -12556
   4   1  47   4  15   3   2   3   0   39.00   2   1  122557
   5   0  36   4  15   3   3   7   0   39.00   2   1  142558
   1   0  37   4  17   4   3  10   0   39.00   2   0  -12559
   4   1  25   3  20   5   2   0   0   39.00   2   0  -12560
   1   0  55   5   9   1   1  13   0   39.00   2   0  -12561
   2   1  68   6  14   2   2   9   0   39.00   2   0  -12562
   5   0  29   3  11   1   5   7   0   39.00   2   0  -12563
   1   1  32   3  15   3   1   1   0   39.00   2   1  142564
   1   0  59   5  19   4   2   4   0   39.00   2   0  -12565
   2   1  27   3  12   2   4   7   0   39.00   2   0  -12566
   2   0  50   5  12   2   1  10   0   39.00   2   0  -12567
   5   0  59   5  13   2   1  15   0   39.00   2   1  152568
   5   1  29   3  12   2   1   3   0   39.00   2   0  -12569
   3   0  40   4  17   4   2   2   0   39.00   2   1  172570
   3   0  42   4  14   2   6  11   0   39.00   2   0  -12571
   1   1  51   5  18   4   4  13   0   39.00   2   1  162572
   1   1  25   3  19   4   6   0   0   40.00   2   1  122573
